Time,Temperature,Rain,Wind
20.August. - 00:00,20.0,0.0,21.3
20.August. - 01:00,19.7,0.0,18.6
20.August. - 02:00,19.5,0.0,19.6
20.August. - 03:00,19.5,0.0,20.2
20.August. - 04:00,19.4,0.0,20.3
20.August. - 05:00,19.5,0.0,17.9
20.August. - 06:00,19.3,0.0,18.4
20.August. - 07:00,19.3,0.0,17.9
20.August. - 08:00,20.0,0.0,16.5
20.August. - 09:00,21.2,0.0,16.9
20.August. - 10:00,23.0,0.0,15.6
20.August. - 11:00,24.3,0.0,15.2
20.August. - 12:00,26.1,0.0,12.0
20.August. - 13:00,27.3,0.0,10.9
20.August. - 14:00,28.7,0.0,11.7
20.August. - 15:00,29.2,0.0,13.0
20.August. - 16:00,28.8,0.0,12.7
20.August. - 17:00,29.9,0.0,13.9
20.August. - 18:00,29.7,0.0,11.0
20.August. - 19:00,25.5,0.0,17.4
20.August. - 20:00,21.1,0.0,12.0
20.August. - 21:00,22.1,0.0,2.6
20.August. - 22:00,21.1,0.0,5.0
20.August. - 23:00,21.6,0.0,6.4
21.August. - 00:00,21.1,0.0,4.3
21.August. - 01:00,21.6,0.0,3.9
21.August. - 02:00,21.5,0.0,1.9
21.August. - 03:00,21.1,0.0,1.0
21.August. - 04:00,20.7,0.0,5.1
21.August. - 05:00,20.9,0.0,11.5
21.August. - 06:00,21.0,0.0,16.3
21.August. - 07:00,21.0,0.0,18.7
21.August. - 08:00,21.6,0.0,19.8
21.August. - 09:00,22.2,0.0,24.9
21.August. - 10:00,23.3,0.0,26.5
21.August. - 11:00,24.4,0.0,28.9
21.August. - 12:00,25.3,0.0,25.0
21.August. - 13:00,25.4,0.0,26.5
21.August. - 14:00,24.5,0.0,23.2
21.August. - 15:00,25.1,0.0,19.1
21.August. - 16:00,25.4,0.0,14.8
21.August. - 17:00,25.8,0.0,15.8
21.August. - 18:00,26.0,0.0,15.5
21.August. - 19:00,25.2,0.0,15.1
21.August. - 20:00,23.6,0.0,12.8
21.August. - 21:00,22.6,0.0,10.8
21.August. - 22:00,20.9,0.0,12.1
21.August. - 23:00,20.1,0.0,13.1
22.August. - 00:00,19.4,0.0,8.8
22.August. - 01:00,18.7,0.0,7.7
22.August. - 02:00,17.9,0.0,9.8
22.August. - 03:00,17.2,0.0,12.7
22.August. - 04:00,17.0,0.0,12.6
22.August. - 05:00,16.9,0.0,11.5
22.August. - 06:00,16.7,0.0,11.3
22.August. - 07:00,16.7,0.0,10.0
22.August. - 08:00,17.6,0.0,9.7
22.August. - 09:00,19.1,0.0,7.2
22.August. - 10:00,20.7,0.0,5.9
22.August. - 11:00,22.0,0.0,3.6
22.August. - 12:00,22.8,0.0,4.0
22.August. - 13:00,23.8,0.0,6.5
22.August. - 14:00,24.5,0.0,6.8
22.August. - 15:00,25.0,0.0,6.9
22.August. - 16:00,24.8,0.0,6.2
22.August. - 17:00,24.9,0.0,5.0
22.August. - 18:00,24.4,0.0,6.4
22.August. - 19:00,23.7,0.0,7.0
22.August. - 20:00,22.4,0.0,5.5
22.August. - 21:00,21.0,0.0,2.1
22.August. - 22:00,20.2,0.0,3.4
22.August. - 23:00,19.0,0.0,3.4
23.August. - 00:00,18.1,0.0,3.5
23.August. - 01:00,17.4,0.0,3.9
23.August. - 02:00,16.8,0.0,4.2
23.August. - 03:00,16.3,0.0,4.5
23.August. - 04:00,15.8,0.0,4.2
23.August. - 05:00,15.3,0.0,4.2
23.August. - 06:00,14.8,0.0,4.7
23.August. - 07:00,15.0,0.0,4.4
23.August. - 08:00,17.2,0.0,5.8
23.August. - 09:00,19.2,0.0,5.8
23.August. - 10:00,21.3,0.0,8.3
23.August. - 11:00,23.5,0.0,8.2
23.August. - 12:00,25.8,0.0,9.5
23.August. - 13:00,27.6,0.0,10.7
23.August. - 14:00,28.9,0.0,10.5
23.August. - 15:00,29.9,0.0,11.2
23.August. - 16:00,30.3,0.0,10.1
23.August. - 17:00,30.3,0.0,9.7
23.August. - 18:00,29.9,0.0,8.6
23.August. - 19:00,28.7,0.0,4.5
23.August. - 20:00,26.3,0.0,3.4
23.August. - 21:00,24.9,0.0,3.3
23.August. - 22:00,23.4,0.0,3.3
23.August. - 23:00,22.1,0.0,3.4
24.August. - 00:00,20.9,0.0,4.0
24.August. - 01:00,19.9,0.0,4.5
24.August. - 02:00,19.1,0.0,5.0
24.August. - 03:00,18.6,0.0,5.5
24.August. - 04:00,18.3,0.0,5.8
24.August. - 05:00,18.3,0.0,6.3
24.August. - 06:00,18.6,0.0,6.8
24.August. - 07:00,19.1,0.0,7.3
24.August. - 08:00,20.2,0.0,7.7
24.August. - 09:00,22.1,0.0,9.3
24.August. - 10:00,24.5,0.0,11.2
24.August. - 11:00,26.8,0.0,12.8
24.August. - 12:00,29.0,0.0,12.7
24.August. - 13:00,31.0,0.0,13.5
24.August. - 14:00,32.6,0.0,14.4
24.August. - 15:00,33.4,0.0,15.0
24.August. - 16:00,33.7,0.0,15.1
24.August. - 17:00,33.4,0.0,14.5
24.August. - 18:00,32.1,0.0,12.2
24.August. - 19:00,30.2,0.0,8.7
24.August. - 20:00,28.3,0.0,5.6
24.August. - 21:00,26.5,0.0,3.8
24.August. - 22:00,24.8,0.0,3.7
24.August. - 23:00,23.2,0.0,4.1
25.August. - 00:00,21.9,0.0,4.8
25.August. - 01:00,20.8,0.0,5.2
25.August. - 02:00,20.0,0.0,5.7
25.August. - 03:00,19.5,0.0,6.2
25.August. - 04:00,19.2,0.0,6.7
25.August. - 05:00,19.3,0.0,7.0
25.August. - 06:00,19.5,0.0,7.5
25.August. - 07:00,20.1,0.0,8.1
25.August. - 08:00,21.2,0.0,7.9
25.August. - 09:00,23.1,0.0,7.4
25.August. - 10:00,25.5,0.0,6.2
25.August. - 11:00,27.7,0.0,5.0
25.August. - 12:00,29.4,0.0,2.2
25.August. - 13:00,30.9,0.0,1.5
25.August. - 14:00,31.9,0.0,4.0
25.August. - 15:00,31.4,0.0,2.9
25.August. - 16:00,31.6,0.0,2.2
25.August. - 17:00,31.3,0.0,2.6
25.August. - 18:00,30.1,0.0,4.5
25.August. - 19:00,28.5,0.0,7.4
25.August. - 20:00,26.9,0.0,9.7
25.August. - 21:00,25.5,0.0,11.7
25.August. - 22:00,24.2,0.0,13.6
25.August. - 23:00,23.1,0.0,14.5
26.August. - 00:00,22.3,0.0,13.9
26.August. - 01:00,21.9,0.0,12.7
26.August. - 02:00,21.5,0.0,12.7
26.August. - 03:00,21.2,0.0,16.3
26.August. - 04:00,21.0,0.0,21.3
26.August. - 05:00,20.8,0.0,24.5
26.August. - 06:00,20.1,0.0,24.5
26.August. - 07:00,19.4,0.0,22.7
26.August. - 08:00,19.1,0.0,21.7
26.August. - 09:00,19.7,0.0,21.8
26.August. - 10:00,20.8,0.0,22.4
26.August. - 11:00,21.5,0.0,23.1
26.August. - 12:00,21.7,0.0,23.2
26.August. - 13:00,21.5,0.0,23.4
26.August. - 14:00,21.3,0.0,23.5
26.August. - 15:00,21.1,0.0,23.6
26.August. - 16:00,20.9,0.0,23.7
26.August. - 17:00,20.5,0.0,23.7
26.August. - 18:00,19.9,0.0,22.9
26.August. - 19:00,19.1,0.0,22.1
26.August. - 20:00,18.4,0.0,21.5
26.August. - 21:00,17.9,0.0,21.1
26.August. - 22:00,17.6,0.0,20.9
26.August. - 23:00,17.2,0.0,20.7
